DATE,US100NPTL
1984-01-01,2.66
1984-04-01,2.55
1984-07-01,2.61
1984-10-01,2.6
1985-01-01,3.02
1985-04-01,2.98
1985-07-01,3.1
1985-10-01,3
1986-01-01,3.46
1986-04-01,3.38
1986-07-01,3.37
1986-10-01,3.06
1987-01-01,3.28
1987-04-01,3.07
1987-07-01,2.89
1987-10-01,2.61
1988-01-01,2.72
1988-04-01,2.52
1988-07-01,2.47
1988-10-01,2.32
1989-01-01,3.01
1989-04-01,2.27
1989-07-01,2.26
1989-10-01,2.11
1990-01-01,2.17
1990-04-01,2.03
1990-07-01,2.04
1990-10-01,1.97
1991-01-01,2.19
1991-04-01,2.12
1991-07-01,2.08
1991-10-01,1.89
1992-01-01,2.03
1992-04-01,1.86
1992-07-01,1.74
1992-10-01,1.51
1993-01-01,1.58
1993-04-01,1.48
1993-07-01,1.42
1993-10-01,1.26
1994-01-01,1.29
1994-04-01,1.19
1994-07-01,1.12
1994-10-01,1.03
1995-01-01,1.1
1995-04-01,1.08
1995-07-01,1.07
1995-10-01,1.01
1996-01-01,1.14
1996-04-01,1.13
1996-07-01,1.1
1996-10-01,1.03
1997-01-01,1.11
1997-04-01,1.07
1997-07-01,1.03
1997-10-01,0.96
1998-01-01,1.05
1998-04-01,1.06
1998-07-01,1.06
1998-10-01,1.01
1999-01-01,1.09
1999-04-01,1.05
1999-07-01,0.98
1999-10-01,0.86
2000-01-01,0.95
2000-04-01,0.92
2000-07-01,0.91
2000-10-01,0.89
2001-01-01,0.99
2001-04-01,1.06
2001-07-01,1.09
2001-10-01,1.05
2002-01-01,1.15
2002-04-01,1.14
2002-07-01,1.15
2002-10-01,1.09
2003-01-01,1.24
2003-04-01,1.23
2003-07-01,1.18
2003-10-01,1.08
2004-01-01,1.11
2004-04-01,1.06
2004-07-01,1.01
2004-10-01,0.89
2005-01-01,0.95
2005-04-01,0.90
2005-07-01,0.89
2005-10-01,0.85
2006-01-01,0.90
2006-04-01,0.89
2006-07-01,0.91
2006-10-01,0.90
2007-01-01,1.00
2007-04-01,1.02
2007-07-01,1.07
2007-10-01,1.12
2008-01-01,1.38
2008-04-01,1.47
2008-07-01,1.63
2008-10-01,1.86
2009-01-01,2.20
2009-04-01,2.27
2009-07-01,2.35
2009-10-01,2.32
2010-01-01,2.63
2010-04-01,2.57
2010-07-01,2.52
2010-10-01,2.42
2011-01-01,2.58
2011-04-01,2.48
2011-07-01,2.37
2011-10-01,2.26
2012-01-01,2.40
2012-04-01,2.22
2012-07-01,2.16
2012-10-01,2.04
2013-01-01,2.13
2013-04-01,1.92
2013-07-01,1.85
2013-10-01,1.67
2014-01-01,1.70
2014-04-01,1.57
2014-07-01,1.53
2014-10-01,1.42
2015-01-01,1.47
2015-04-01,1.39
2015-07-01,1.29
2015-10-01,1.28
2016-01-01,1.29
2016-04-01,1.25
2016-07-01,1.26
2016-10-01,1.16
2017-01-01,1.26
2017-04-01,1.24
2017-07-01,1.26
2017-10-01,1.16
2018-01-01,1.21
2018-04-01,1.21
2018-07-01,1.21
2018-10-01,1.16
2019-01-01,1.23
