DATE,US100ROA
1984-01-01,0.99
1984-04-01,1
1984-07-01,1
1984-10-01,0.8
1985-01-01,0.93
1985-04-01,0.91
1985-07-01,0.9
1985-10-01,0.67
1986-01-01,0.89
1986-04-01,0.76
1986-07-01,0.69
1986-10-01,0.49
1987-01-01,0.71
1987-04-01,0.65
1987-07-01,0.66
1987-10-01,0.53
1988-01-01,0.74
1988-04-01,0.73
1988-07-01,0.76
1988-10-01,0.67
1989-01-01,0.93
1989-04-01,0.89
1989-07-01,0.89
1989-10-01,0.80
1990-01-01,0.80
1990-04-01,0.83
1990-07-01,0.82
1990-10-01,0.7
1991-01-01,1.18
1991-04-01,0.98
1991-07-01,0.95
1991-10-01,0.78
1992-01-01,1.09
1992-04-01,1.11
1992-07-01,1.13
1992-10-01,1.05
1993-01-01,1.29
1993-04-01,1.27
1993-07-01,1.25
1993-10-01,1.17
1994-01-01,1.16
1994-04-01,1.16
1994-07-01,1.18
1994-10-01,1.13
1995-01-01,1.18
1995-04-01,1.18
1995-07-01,1.23
1995-10-01,1.19
1996-01-01,1.22
1996-04-01,1.23
1996-07-01,1.24
1996-10-01,1.18
1997-01-01,1.21
1997-04-01,1.25
1997-07-01,1.26
1997-10-01,1.2
1998-01-01,1.19
1998-04-01,1.2
1998-07-01,1.22
1998-10-01,1.13
1999-01-01,1.09
1999-04-01,1.07
1999-07-01,1.09
1999-10-01,1.03
2000-01-01,1.10
2000-04-01,1.15
2000-07-01,1.13
2000-10-01,1.04
2001-01-01,1.00
2001-04-01,0.96
2001-07-01,0.96
2001-10-01,0.89
2002-01-01,1.01
2002-04-01,1.04
2002-07-01,1.07
2002-10-01,1.01
2003-01-01,1.03
2003-04-01,1.05
2003-07-01,1.02
2003-10-01,0.95
2004-01-01,1.01
2004-04-01,1.01
2004-07-01,1.03
2004-10-01,0.97
2005-01-01,1.01
2005-04-01,1.02
2005-07-01,1.02
2005-10-01,0.94
2006-01-01,0.95
2006-04-01,0.97
2006-07-01,0.95
2006-10-01,0.87
2007-01-01,0.80
2007-04-01,0.81
2007-07-01,0.79
2007-10-01,0.68
2008-01-01,0.59
2008-04-01,0.53
2008-07-01,0.46
2008-10-01,0.25
2009-01-01,0.31
2009-04-01,0.15
2009-07-01,0.17
2009-10-01,0.06
2010-01-01,0.40
2010-04-01,0.48
2010-07-01,0.50
2010-10-01,0.39
2011-01-01,0.63
2011-04-01,0.62
2011-07-01,0.66
2011-10-01,0.59
2012-01-01,0.80
2012-04-01,0.76
2012-07-01,0.80
2012-10-01,0.75
2013-01-01,0.74
2013-04-01,0.79
2013-07-01,0.80
2013-10-01,0.83
2014-01-01,0.73
2014-04-01,0.82
2014-07-01,0.84
2014-10-01,0.81
2015-01-01,0.83
2015-04-01,0.87
2015-07-01,0.90
2015-10-01,0.85
2016-01-01,0.90
2016-04-01,0.91
2016-07-01,0.94
2016-10-01,0.87
2017-01-01,0.86
2017-04-01,0.90
2017-07-01,0.93
2017-10-01,0.85
2018-01-01,0.91
2018-04-01,0.99
2018-07-01,1.02
2018-10-01,0.98
2019-01-01,0.99
