DATE,US115LLRTL
1984-01-01,1.32
1984-04-01,1.28
1984-07-01,1.3
1984-10-01,1.31
1985-01-01,1.35
1985-04-01,1.38
1985-07-01,1.39
1985-10-01,1.40
1986-01-01,1.54
1986-04-01,1.55
1986-07-01,1.56
1986-10-01,1.55
1987-01-01,1.59
1987-04-01,2.06
1987-07-01,1.96
1987-10-01,2.05
1988-01-01,1.99
1988-04-01,1.88
1988-07-01,2.12
1988-10-01,1.82
1989-01-01,1.77
1989-04-01,1.76
1989-07-01,1.84
1989-10-01,2.08
1990-01-01,2.02
1990-04-01,2.12
1990-07-01,2.39
1990-10-01,2.61
1991-01-01,2.58
1991-04-01,2.70
1991-07-01,2.78
1991-10-01,2.83
1992-01-01,2.85
1992-04-01,2.9
1992-07-01,2.91
1992-10-01,2.84
1993-01-01,2.85
1993-04-01,2.72
1993-07-01,2.66
1993-10-01,2.53
1994-01-01,2.49
1994-04-01,2.41
1994-07-01,2.32
1994-10-01,2.2
1995-01-01,2.13
1995-04-01,2.08
1995-07-01,2.09
1995-10-01,2.08
1996-01-01,2.11
1996-04-01,2.09
1996-07-01,2.02
1996-10-01,1.98
1997-01-01,2.07
1997-04-01,2.17
1997-07-01,2.19
1997-10-01,2.07
1998-01-01,2.1
1998-04-01,2.12
1998-07-01,2.15
1998-10-01,2.05
1999-01-01,2.07
1999-04-01,2.05
1999-07-01,2.01
1999-10-01,1.96
2000-01-01,1.96
2000-04-01,1.90
2000-07-01,1.88
2000-10-01,1.94
2001-01-01,1.82
2001-04-01,1.86
2001-07-01,1.85
2001-10-01,1.79
2002-01-01,1.77
2002-04-01,1.79
2002-07-01,1.70
2002-10-01,1.64
2003-01-01,1.74
2003-04-01,1.70
2003-07-01,1.69
2003-10-01,1.70
2004-01-01,1.60
2004-04-01,1.56
2004-07-01,1.55
2004-10-01,1.50
2005-01-01,1.39
2005-04-01,1.32
2005-07-01,1.32
2005-10-01,1.24
2006-01-01,1.24
2006-04-01,1.22
2006-07-01,1.24
2006-10-01,1.19
2007-01-01,1.18
2007-04-01,1.18
2007-07-01,1.20
2007-10-01,1.30
2008-01-01,1.42
2008-04-01,1.53
2008-07-01,1.59
2008-10-01,1.89
2009-01-01,2.11
2009-04-01,2.28
2009-07-01,2.37
2009-10-01,2.50
2010-01-01,2.64
2010-04-01,2.55
2010-07-01,2.47
2010-10-01,2.42
2011-01-01,2.44
2011-04-01,2.30
2011-07-01,2.22
2011-10-01,2.16
2012-01-01,2.11
2012-04-01,2.04
2012-07-01,1.95
2012-10-01,1.86
2013-01-01,1.84
2013-04-01,1.75
2013-07-01,1.69
2013-10-01,1.60
2014-01-01,1.57
2014-04-01,1.48
2014-07-01,1.40
2014-10-01,1.34
2015-01-01,1.35
2015-04-01,1.31
2015-07-01,1.29
2015-10-01,1.26
2016-01-01,1.24
2016-04-01,1.21
2016-07-01,1.18
2016-10-01,1.19
2017-01-01,1.18
2017-04-01,1.11
2017-07-01,1.11
2017-10-01,1.10
2018-01-01,1.10
2018-04-01,1.08
2018-07-01,1.06
2018-10-01,1.04
2019-01-01,1.04
