DATE,US13ROE
1984-01-01,13.13
1984-04-01,13.4
1984-07-01,13.37
1984-10-01,12.02
1985-01-01,12.45
1985-04-01,12.79
1985-07-01,12.8
1985-10-01,11.32
1986-01-01,13.19
1986-04-01,12.17
1986-07-01,11.7
1986-10-01,9.96
1987-01-01,11.77
1987-04-01,10.77
1987-07-01,10.96
1987-10-01,9.88
1988-01-01,10.76
1988-04-01,11.08
1988-07-01,11.42
1988-10-01,10.37
1989-01-01,13.12
1989-04-01,12.85
1989-07-01,12.80
1989-10-01,11.80
1990-01-01,11.82
1990-04-01,11.96
1990-07-01,11.80
1990-10-01,10.52
1991-01-01,10.87
1991-04-01,10.60
1991-07-01,10.47
1991-10-01,9.98
1992-01-01,12.78
1992-04-01,13.26
1992-07-01,13.19
1992-10-01,12.61
1993-01-01,14.96
1993-04-01,14.05
1993-07-01,14.28
1993-10-01,13.54
1994-01-01,12.62
1994-04-01,13.12
1994-07-01,13.23
1994-10-01,12.91
1995-01-01,13.19
1995-04-01,13
1995-07-01,13.38
1995-10-01,13.17
1996-01-01,13.11
1996-04-01,13.20
1996-07-01,13.57
1996-10-01,13.26
1997-01-01,13.37
1997-04-01,13.42
1997-07-01,13.80
1997-10-01,13.42
1998-01-01,13.95
1998-04-01,13.74
1998-07-01,13.59
1998-10-01,13.16
1999-01-01,12.89
1999-04-01,12.75
1999-07-01,12.79
1999-10-01,12.46
2000-01-01,13.83
2000-04-01,13.67
2000-07-01,13.24
2000-10-01,12.81
2001-01-01,12.48
2001-04-01,12.01
2001-07-01,11.94
2001-10-01,11.43
2002-01-01,11.57
2002-04-01,12.04
2002-07-01,12.49
2002-10-01,12.30
2003-01-01,12.28
2003-04-01,11.78
2003-07-01,12.05
2003-10-01,11.74
2004-01-01,11.88
2004-04-01,12.09
2004-07-01,12.36
2004-10-01,12.12
2005-01-01,12.13
2005-04-01,12.40
2005-07-01,12.54
2005-10-01,12.29
2006-01-01,11.88
2006-04-01,12.11
2006-07-01,12.18
2006-10-01,11.67
2007-01-01,10.39
2007-04-01,10.45
2007-07-01,10.49
2007-10-01,9.44
2008-01-01,7.95
2008-04-01,6.91
2008-07-01,6.00
2008-10-01,3.96
2009-01-01,3.33
2009-04-01,1.34
2009-07-01,1.59
2009-10-01,0.27
2010-01-01,3.94
2010-04-01,3.45
2010-07-01,3.63
2010-10-01,2.86
2011-01-01,5.38
2011-04-01,5.47
2011-07-01,5.91
2011-10-01,5.67
2012-01-01,7.75
2012-04-01,7.68
2012-07-01,7.99
2012-10-01,7.78
2013-01-01,8.09
2013-04-01,8.29
2013-07-01,8.47
2013-10-01,8.27
2014-01-01,8.56
2014-04-01,8.93
2014-07-01,9.11
2014-10-01,9.05
2015-01-01,8.90
2015-04-01,9.14
2015-07-01,9.24
2015-10-01,9.20
2016-01-01,9.17
2016-04-01,9.34
2016-07-01,9.45
2016-10-01,9.26
2017-01-01,9.43
2017-04-01,9.61
2017-07-01,9.85
2017-10-01,9.20
2018-01-01,10.30
2018-04-01,10.67
2018-07-01,11.05
2018-10-01,10.49
2019-01-01,9.98
