DATE,US31NIM
1984-01-01,4.26
1984-04-01,4.44
1984-07-01,4.49
1984-10-01,4.5
1985-01-01,4.39
1985-04-01,4.51
1985-07-01,4.55
1985-10-01,4.59
1986-01-01,4.4
1986-04-01,4.42
1986-07-01,4.40
1986-10-01,4.41
1987-01-01,4.61
1987-04-01,4.69
1987-07-01,4.73
1987-10-01,4.73
1988-01-01,4.46
1988-04-01,4.52
1988-07-01,4.55
1988-10-01,4.6
1989-01-01,4.76
1989-04-01,4.74
1989-07-01,4.74
1989-10-01,4.71
1990-01-01,4.56
1990-04-01,4.62
1990-07-01,4.67
1990-10-01,4.73
1991-01-01,4.56
1991-04-01,4.58
1991-07-01,4.61
1991-10-01,4.63
1992-01-01,4.73
1992-04-01,4.84
1992-07-01,4.87
1992-10-01,4.94
1993-01-01,4.89
1993-04-01,4.97
1993-07-01,4.92
1993-10-01,4.92
1994-01-01,5.58
1994-04-01,5.2
1994-07-01,5.13
1994-10-01,5.16
1995-01-01,4.89
1995-04-01,4.9
1995-07-01,4.92
1995-10-01,4.94
1996-01-01,4.81
1996-04-01,4.8
1996-07-01,4.81
1996-10-01,4.83
1997-01-01,4.74
1997-04-01,4.81
1997-07-01,4.88
1997-10-01,4.88
1998-01-01,4.62
1998-04-01,4.64
1998-07-01,4.70
1998-10-01,4.72
1999-01-01,4.46
1999-04-01,4.55
1999-07-01,4.58
1999-10-01,4.60
2000-01-01,4.64
2000-04-01,4.62
2000-07-01,4.61
2000-10-01,4.62
2001-01-01,4.35
2001-04-01,4.41
2001-07-01,4.44
2001-10-01,4.47
2002-01-01,4.42
2002-04-01,4.47
2002-07-01,4.48
2002-10-01,4.46
2003-01-01,4.20
2003-04-01,4.20
2003-07-01,4.17
2003-10-01,4.21
2004-01-01,4.17
2004-04-01,4.15
2004-07-01,4.21
2004-10-01,4.23
2005-01-01,4.17
2005-04-01,4.23
2005-07-01,4.28
2005-10-01,4.32
2006-01-01,4.28
2006-04-01,4.29
2006-07-01,4.29
2006-10-01,4.26
2007-01-01,4.05
2007-04-01,4.08
2007-07-01,4.08
2007-10-01,4.08
2008-01-01,3.85
2008-04-01,3.85
2008-07-01,3.85
2008-10-01,3.83
2009-01-01,3.61
2009-04-01,3.63
2009-07-01,3.68
2009-10-01,3.71
2010-01-01,3.75
2010-04-01,3.81
2010-07-01,3.83
2010-10-01,3.84
2011-01-01,3.79
2011-04-01,3.85
2011-07-01,3.89
2011-10-01,3.91
2012-01-01,3.83
2012-04-01,3.85
2012-07-01,3.85
2012-10-01,3.84
2013-01-01,3.70
2013-04-01,3.72
2013-07-01,3.75
2013-10-01,3.79
2014-01-01,3.75
2014-04-01,3.78
2014-07-01,3.81
2014-10-01,3.84
2015-01-01,3.72
2015-04-01,3.75
2015-07-01,3.78
2015-10-01,3.78
2016-01-01,3.79
2016-04-01,3.80
2016-07-01,3.81
2016-10-01,3.81
2017-01-01,3.77
2017-04-01,3.81
2017-07-01,3.85
2017-10-01,3.85
2018-01-01,3.86
2018-04-01,3.91
2018-07-01,3.94
2018-10-01,3.98
2019-01-01,3.92
