DATE,US31NUM
1984-01-01,436
1984-04-01,445
1984-07-01,449
1984-10-01,447
1985-01-01,459
1985-04-01,464
1985-07-01,466
1985-10-01,471
1986-01-01,501
1986-04-01,500
1986-07-01,508
1986-10-01,509
1987-01-01,520
1987-04-01,518
1987-07-01,515
1987-10-01,501
1988-01-01,530
1988-04-01,528
1988-07-01,522
1988-10-01,522
1989-01-01,542
1989-04-01,535
1989-07-01,535
1989-10-01,542
1990-01-01,581
1990-04-01,577
1990-07-01,580
1990-10-01,588
1991-01-01,613
1991-04-01,609
1991-07-01,606
1991-10-01,606
1992-01-01,632
1992-04-01,632
1992-07-01,631
1992-10-01,607
1993-01-01,625
1993-04-01,621
1993-07-01,619
1993-10-01,611
1994-01-01,624
1994-04-01,625
1994-07-01,620
1994-10-01,617
1995-01-01,613
1995-04-01,622
1995-07-01,623
1995-10-01,616
1996-01-01,647
1996-04-01,625
1996-07-01,621
1996-10-01,629
1997-01-01,667
1997-04-01,646
1997-07-01,638
1997-10-01,630
1998-01-01,675
1998-04-01,667
1998-07-01,667
1998-10-01,647
1999-01-01,675
1999-04-01,673
1999-07-01,669
1999-10-01,682
2000-01-01,713
2000-04-01,717
2000-07-01,712
2000-10-01,699
2001-01-01,747
2001-04-01,751
2001-07-01,756
2001-10-01,755
2002-01-01,829
2002-04-01,825
2002-07-01,824
2002-10-01,841
2003-01-01,897
2003-04-01,913
2003-07-01,918
2003-10-01,927
2004-01-01,961
2004-04-01,972
2004-07-01,982
2004-10-01,983
2005-01-01,1035
2005-04-01,1035
2005-07-01,1049
2005-10-01,1055
2006-01-01,1118
2006-04-01,1112
2006-07-01,1119
2006-10-01,1124
2007-01-01,1187
2007-04-01,1178
2007-07-01,1174
2007-10-01,1172
2008-01-01,1219
2008-04-01,1210
2008-07-01,1204
2008-10-01,1207
2009-01-01,1244
2009-04-01,1236
2009-07-01,1227
2009-10-01,1225
2010-01-01,1242
2010-04-01,1220
2010-07-01,1206
2010-10-01,1182
2011-01-01,1173
2011-04-01,1164
2011-07-01,1158
2011-10-01,1164
2012-01-01,1191
2012-04-01,1193
2012-07-01,1183
2012-10-01,1176
2013-01-01,1215
2013-04-01,1205
2013-07-01,1205
2013-10-01,1199
2014-01-01,1217
2014-04-01,1224
2014-07-01,1223
2014-10-01,1204
2015-01-01,1228
2015-04-01,1221
2015-07-01,1216
2015-10-01,1213
2016-01-01,1204
2016-04-01,1206
2016-07-01,1199
2016-10-01,1192
2017-01-01,1209
2017-04-01,1197
2017-07-01,1197
2017-10-01,1184
2018-01-01,1193
2018-04-01,1182
2018-07-01,1169
2018-10-01,1161
2019-01-01,1189
