DATE,US31ROE
1984-01-01,12.81
1984-04-01,12.81
1984-07-01,12.90
1984-10-01,13.09
1985-01-01,13.08
1985-04-01,12.83
1985-07-01,12.5
1985-10-01,11.5
1986-01-01,11.44
1986-04-01,11.06
1986-07-01,9.39
1986-10-01,8.38
1987-01-01,11.78
1987-04-01,8.08
1987-07-01,8.82
1987-10-01,7.57
1988-01-01,9.38
1988-04-01,9.71
1988-07-01,9.97
1988-10-01,10.28
1989-01-01,12.61
1989-04-01,12.75
1989-07-01,12.82
1989-10-01,11.49
1990-01-01,11.46
1990-04-01,11.21
1990-07-01,10.82
1990-10-01,9.70
1991-01-01,10.89
1991-04-01,10.29
1991-07-01,9.73
1991-10-01,9.63
1992-01-01,12.87
1992-04-01,12.89
1992-07-01,12.53
1992-10-01,12.37
1993-01-01,14.73
1993-04-01,14.29
1993-07-01,13.86
1993-10-01,13.65
1994-01-01,14.27
1994-04-01,14.15
1994-07-01,14.71
1994-10-01,14.6
1995-01-01,14.20
1995-04-01,14.30
1995-07-01,14.22
1995-10-01,14.26
1996-01-01,15.00
1996-04-01,14.69
1996-07-01,14.15
1996-10-01,14.23
1997-01-01,14.31
1997-04-01,14.93
1997-07-01,15.50
1997-10-01,15.20
1998-01-01,14.60
1998-04-01,14.72
1998-07-01,14.90
1998-10-01,15.06
1999-01-01,14.20
1999-04-01,14.93
1999-07-01,14.97
1999-10-01,15.86
2000-01-01,15.16
2000-04-01,15.38
2000-07-01,15.31
2000-10-01,14.67
2001-01-01,13.40
2001-04-01,13.59
2001-07-01,13.46
2001-10-01,13.02
2002-01-01,13.12
2002-04-01,13.37
2002-07-01,13.26
2002-10-01,12.85
2003-01-01,13.53
2003-04-01,13.50
2003-07-01,13.30
2003-10-01,13.08
2004-01-01,13.33
2004-04-01,13.19
2004-07-01,13.47
2004-10-01,13.37
2005-01-01,13.82
2005-04-01,13.87
2005-07-01,14.10
2005-10-01,13.89
2006-01-01,13.78
2006-04-01,13.84
2006-07-01,13.98
2006-10-01,13.59
2007-01-01,12.15
2007-04-01,12.33
2007-07-01,12.15
2007-10-01,11.00
2008-01-01,9.20
2008-04-01,7.53
2008-07-01,4.63
2008-10-01,2.24
2009-01-01,2.91
2009-04-01,0.59
2009-07-01,0.29
2009-10-01,-1.81
2010-01-01,3.86
2010-04-01,3.78
2010-07-01,4.31
2010-10-01,2.81
2011-01-01,5.34
2011-04-01,5.46
2011-07-01,5.79
2011-10-01,5.47
2012-01-01,8.59
2012-04-01,8.48
2012-07-01,8.53
2012-10-01,8.08
2013-01-01,8.37
2013-04-01,9.00
2013-07-01,9.10
2013-10-01,9.01
2014-01-01,8.93
2014-04-01,9.36
2014-07-01,9.59
2014-10-01,9.70
2015-01-01,9.52
2015-04-01,9.84
2015-07-01,9.27
2015-10-01,9.86
2016-01-01,9.52
2016-04-01,9.82
2016-07-01,9.98
2016-10-01,9.91
2017-01-01,9.77
2017-04-01,10.13
2017-07-01,10.36
2017-10-01,9.80
2018-01-01,10.95
2018-04-01,11.40
2018-07-01,11.45
2018-10-01,11.71
2019-01-01,11.11
