DATE,USG15ROA
1984-01-01,0.45
1984-04-01,0.19
1984-07-01,0.27
1984-10-01,0.32
1985-01-01,0.58
1985-04-01,0.46
1985-07-01,0.5
1985-10-01,0.48
1986-01-01,0.63
1986-04-01,0.43
1986-07-01,0.48
1986-10-01,0.5
1987-01-01,0.49
1987-04-01,-2.35
1987-07-01,-1.33
1987-10-01,-0.9
1988-01-01,0.45
1988-04-01,0.55
1988-07-01,0.91
1988-10-01,0.97
1989-01-01,0.88
1989-04-01,0.92
1989-07-01,-0.07
1989-10-01,0.01
1990-01-01,0.75
1990-04-01,0.67
1990-07-01,0.52
1990-10-01,0.42
1991-01-01,0.49
1991-04-01,0.51
1991-07-01,0.38
1991-10-01,0.29
1992-01-01,0.56
1992-04-01,0.68
1992-07-01,0.71
1992-10-01,0.76
1993-01-01,1.24
1993-04-01,1.13
1993-07-01,1.16
1993-10-01,1.13
1994-01-01,0.96
1994-04-01,0.98
1994-07-01,0.98
1994-10-01,0.97
1995-01-01,0.84
1995-04-01,0.91
1995-07-01,1.03
1995-10-01,1.02
1996-01-01,0.86
1996-04-01,1.06
1996-07-01,1.13
1996-10-01,1.12
1997-01-01,1.19
1997-04-01,1.27
1997-07-01,1.24
1997-10-01,1.22
1998-01-01,1.07
1998-04-01,1.14
1998-07-01,1.06
1998-10-01,1.06
1999-01-01,1.2
1999-04-01,1.13
1999-07-01,1.27
1999-10-01,1.28
2000-01-01,1.33
2000-04-01,1.08
2000-07-01,1.14
2000-10-01,1.15
2001-01-01,1.26
2001-04-01,1.23
2001-07-01,1.17
2001-10-01,1.20
2002-01-01,1.34
2002-04-01,1.42
2002-07-01,1.41
2002-10-01,1.36
2003-01-01,1.46
2003-04-01,1.43
2003-07-01,1.43
2003-10-01,1.45
2004-01-01,1.45
2004-04-01,1.36
2004-07-01,1.29
2004-10-01,1.34
2005-01-01,1.37
2005-04-01,1.34
2005-07-01,1.34
2005-10-01,1.30
2006-01-01,1.39
2006-04-01,1.38
2006-07-01,1.36
2006-10-01,1.37
2007-01-01,1.26
2007-04-01,1.25
2007-07-01,1.17
2007-10-01,0.90
2008-01-01,0.64
2008-04-01,0.50
2008-07-01,0.45
2008-10-01,0.19
2009-01-01,0.31
2009-04-01,0.16
2009-07-01,0.18
2009-10-01,-0.02
2010-01-01,0.57
2010-04-01,0.65
2010-07-01,0.70
2010-10-01,0.73
2011-01-01,0.94
2011-04-01,0.90
2011-07-01,0.98
2011-10-01,0.93
2012-01-01,1.00
2012-04-01,0.96
2012-07-01,1.00
2012-10-01,0.99
2013-01-01,1.17
2013-04-01,1.11
2013-07-01,1.06
2013-10-01,1.07
2014-01-01,0.99
2014-04-01,1.03
2014-07-01,1.01
2014-10-01,0.99
2015-01-01,0.99
2015-04-01,1.03
2015-07-01,1.02
2015-10-01,1.02
2016-01-01,0.92
2016-04-01,0.97
2016-07-01,1.00
2016-10-01,1.01
2017-01-01,1.01
2017-04-01,1.06
2017-07-01,1.07
2017-10-01,0.93
2018-01-01,1.27
2018-04-01,1.35
2018-07-01,1.37
2018-10-01,1.36
2019-01-01,1.37
