DATE,USIBB
1984-01-01,164872324
1984-04-01,154955710
1984-07-01,140406479
1984-10-01,142236228
1985-01-01,150519331
1985-04-01,149983622
1985-07-01,148480740
1985-10-01,142404552
1986-01-01,146951595
1986-04-01,145401272
1986-07-01,148047661
1986-10-01,154214921
1987-01-01,155886069
1987-04-01,156539570
1987-07-01,157747312
1987-10-01,164171314
1988-01-01,157467664
1988-04-01,156492138
1988-07-01,155896522
1988-10-01,149497241
1989-01-01,147681105
1989-04-01,143386217
1989-07-01,141374533
1989-10-01,135624504
1990-01-01,131577595
1990-04-01,122907493
1990-07-01,113147998
1990-10-01,103011460
1991-01-01,106000896
1991-04-01,108383337
1991-07-01,104904241
1991-10-01,106082818
1992-01-01,101471860
1992-04-01,96412657
1992-07-01,91366654
1992-10-01,98334977
1993-01-01,90107952
1993-04-01,87462379
1993-07-01,82812812
1993-10-01,83992980
1994-01-01,82564545
1994-04-01,82906622
1994-07-01,87087754
1994-10-01,94342356
1995-01-01,85933343
1995-04-01,86112758
1995-07-01,82420943
1995-10-01,78879749
1996-01-01,80279274
1996-04-01,83008418
1996-07-01,82034798
1996-10-01,94671743
1997-01-01,89495631
1997-04-01,95084237
1997-07-01,100894984
1997-10-01,116174225
1998-01-01,102466296
1998-04-01,98377864
1998-07-01,88199149
1998-10-01,110597054
1999-01-01,96269708
1999-04-01,104573909
1999-07-01,102059194
1999-10-01,124941756
2000-01-01,94807377
2000-04-01,100001399
2000-07-01,103729443
2000-10-01,104742850
2001-01-01,133159815
2001-04-01,136352185
2001-07-01,149273946
2001-10-01,122480645
2002-01-01,114941111
2002-04-01,120089655
2002-07-01,121063628
2002-10-01,118671393
2003-01-01,117910975
2003-04-01,135954765
2003-07-01,128853082
2003-10-01,126967620
2004-01-01,169453119
2004-04-01,183678679
2004-07-01,175596236
2004-10-01,152754113
2005-01-01,148906772
2005-04-01,119963747
2005-07-01,128555802
2005-10-01,122450313
2006-01-01,118910352
2006-04-01,123795264
2006-07-01,140033804
2006-10-01,152211979
2007-01-01,164867019
2007-04-01,202785638
2007-07-01,184481849
2007-10-01,189708106
2008-01-01,221430144
2008-04-01,227585215
2008-07-01,263223501
2008-10-01,748862789
2009-01-01,715652639
2009-04-01,598128851
2009-07-01,758514458
2009-10-01,753019552
2010-01-01,819941484
2010-04-01,785316943
2010-07-01,742369492
2010-10-01,724312293
2011-01-01,869171163
2011-04-01,1013113775
2011-07-01,968073598
2011-10-01,933109964
2012-01-01,980464397
2012-04-01,980201956
2012-07-01,975105963
2012-10-01,1040584231
2013-01-01,1180572238
2013-04-01,1206184328
2013-07-01,1374280963
2013-10-01,1376037711
2014-01-01,1494146439
2014-04-01,1520648409
2014-07-01,1610892108
2014-10-01,1617322755
2015-01-01,1707317710
2015-04-01,1553239435
2015-07-01,1510656094
2015-10-01,1463684091
2016-01-01,1579855676
2016-04-01,1548752567
2016-07-01,1585529958
2016-10-01,1511060753
2017-01-01,1671211220
2017-04-01,1580588098
2017-07-01,1630198310
2017-10-01,1596416773
2018-01-01,1662900522
2018-04-01,1547418478
2018-07-01,1552527918
2018-10-01,1391506311
2019-01-01,1404579434
