DATE,USNIM
1984-01-01,3.78
1984-04-01,3.87
1984-07-01,3.91
1984-10-01,3.95
1985-01-01,3.97
1985-04-01,4.04
1985-07-01,4.05
1985-10-01,4.06
1986-01-01,3.95
1986-04-01,3.95
1986-07-01,3.93
1986-10-01,3.92
1987-01-01,4.01
1987-04-01,3.99
1987-07-01,4.02
1987-10-01,4.07
1988-01-01,4.01
1988-04-01,4.03
1988-07-01,4.09
1988-10-01,4.21
1989-01-01,4.21
1989-04-01,4.19
1989-07-01,4.13
1989-10-01,4.13
1990-01-01,4
1990-04-01,4
1990-07-01,4
1990-10-01,4.03
1991-01-01,4.08
1991-04-01,4.11
1991-07-01,4.16
1991-10-01,4.2
1992-01-01,4.33
1992-04-01,4.44
1992-07-01,4.49
1992-10-01,4.54
1993-01-01,4.51
1993-04-01,4.51
1993-07-01,4.52
1993-10-01,4.49
1994-01-01,4.91
1994-04-01,4.58
1994-07-01,4.5
1994-10-01,4.48
1995-01-01,4.21
1995-04-01,4.21
1995-07-01,4.23
1995-10-01,4.25
1996-01-01,4.18
1996-04-01,4.27
1996-07-01,4.38
1996-10-01,4.37
1997-01-01,4.14
1997-04-01,4.36
1997-07-01,4.36
1997-10-01,4.34
1998-01-01,3.97
1998-04-01,4.04
1998-07-01,4.05
1998-10-01,4.1
1999-01-01,3.92
1999-04-01,3.95
1999-07-01,4.14
1999-10-01,4.13
2000-01-01,3.93
2000-04-01,3.92
2000-07-01,3.94
2000-10-01,3.93
2001-01-01,3.76
2001-04-01,3.78
2001-07-01,3.82
2001-10-01,4.02
2002-01-01,4.08
2002-04-01,4.10
2002-07-01,4.06
2002-10-01,4.04
2003-01-01,3.77
2003-04-01,3.75
2003-07-01,3.71
2003-10-01,3.75
2004-01-01,3.70
2004-04-01,3.60
2004-07-01,3.50
2004-10-01,3.67
2005-01-01,3.54
2005-04-01,3.59
2005-07-01,3.57
2005-10-01,3.54
2006-01-01,3.45
2006-04-01,3.44
2006-07-01,3.45
2006-10-01,3.47
2007-01-01,3.33
2007-04-01,3.33
2007-07-01,3.39
2007-10-01,3.35
2008-01-01,3.30
2008-04-01,3.31
2008-07-01,3.31
2008-10-01,3.15
2009-01-01,3.26
2009-04-01,3.32
2009-07-01,3.37
2009-10-01,3.47
2010-01-01,3.83
2010-04-01,3.77
2010-07-01,3.73
2010-10-01,3.70
2011-01-01,3.56
2011-04-01,3.54
2011-07-01,3.55
2011-10-01,3.53
2012-01-01,3.45
2012-04-01,3.41
2012-07-01,3.39
2012-10-01,3.37
2013-01-01,3.20
2013-04-01,3.20
2013-07-01,3.19
2013-10-01,3.20
2014-01-01,3.10
2014-04-01,3.09
2014-07-01,3.09
2014-10-01,3.11
2015-01-01,2.95
2015-04-01,2.98
2015-07-01,2.99
2015-10-01,3.02
2016-01-01,3.02
2016-04-01,3.01
2016-07-01,3.03
2016-10-01,3.06
2017-01-01,3.10
2017-04-01,3.12
2017-07-01,3.15
2017-10-01,3.17
2018-01-01,3.23
2018-04-01,3.30
2018-07-01,3.33
2018-10-01,3.35
2019-01-01,3.36
