DATE,USNP
1984-01-01,43375078
1984-04-01,44548828
1984-07-01,43577795
1984-10-01,43875773
1985-01-01,46171903
1985-04-01,46747745
1985-07-01,47664383
1985-10-01,44049984
1986-01-01,46773021
1986-04-01,48638082
1986-07-01,49999504
1986-10-01,48595128
1987-01-01,66430854
1987-04-01,65475493
1987-07-01,65194734
1987-10-01,63548200
1988-01-01,63790140
1988-04-01,61279994
1988-07-01,63557005
1988-10-01,57348682
1989-01-01,59198195
1989-04-01,61235430
1989-07-01,63891344
1989-10-01,62593392
1990-01-01,65018603
1990-04-01,66970020
1990-07-01,72730482
1990-10-01,78265929
1991-01-01,83406943
1991-04-01,83058233
1991-07-01,80477648
1991-10-01,75846791
1992-01-01,75183580
1992-04-01,71734899
1992-07-01,69257111
1992-10-01,62044486
1993-01-01,58711366
1993-04-01,53941595
1993-07-01,49894923
1993-10-01,42497227
1994-01-01,40117072
1994-04-01,35586510
1994-07-01,33107398
1994-10-01,30392475
1995-01-01,32012834
1995-04-01,31396115
1995-07-01,31242632
1995-10-01,30138239
1996-01-01,30794340
1996-04-01,29928773
1996-07-01,29997999
1996-10-01,28813309
1997-01-01,28769476
1997-04-01,28243055
1997-07-01,28345809
1997-10-01,28255344
1998-01-01,29210389
1998-04-01,28789455
1998-07-01,29255982
1998-10-01,30864947
1999-01-01,31811310
1999-04-01,30785917
1999-07-01,32551840
1999-10-01,32550859
2000-01-01,34054267
2000-04-01,36081203
2000-07-01,38269942
2000-10-01,42250259
2001-01-01,45322598
2001-04-01,47901074
2001-07-01,50855316
2001-10-01,53593526
2002-01-01,56000811
2002-04-01,57476159
2002-07-01,60245588
2002-10-01,59584529
2003-01-01,58003659
2003-04-01,55996672
2003-07-01,53436613
2003-10-01,52118380
2004-01-01,47861213
2004-04-01,44299389
2004-07-01,43273448
2004-10-01,41468302
2005-01-01,39183845
2005-04-01,39219128
2005-07-01,39040240
2005-10-01,39651123
2006-01-01,38443894
2006-04-01,38903739
2006-07-01,41458150
2006-10-01,45885294
2007-01-01,47731965
2007-04-01,51987123
2007-07-01,63833366
2007-10-01,86800431
2008-01-01,106944773
2008-04-01,127011788
2008-07-01,156216454
2008-10-01,199649784
2009-01-01,247787081
2009-04-01,289640178
2009-07-01,325386269
2009-10-01,361295684
2010-01-01,374712731
2010-04-01,350070054
2010-07-01,341070489
2010-10-01,323736777
2011-01-01,308330225
2011-04-01,290373457
2011-07-01,284815640
2011-10-01,283880167
2012-01-01,279100722
2012-04-01,268157458
2012-07-01,269038138
2012-10-01,253837307
2013-01-01,239761523
2013-04-01,219716613
2013-07-01,202955591
2013-10-01,190381265
2014-01-01,179813290
2014-04-01,166115788
2014-07-01,157000545
2014-10-01,147590545
2015-01-01,138810059
2015-04-01,130992882
2015-07-01,125850998
2015-10-01,124963010
2016-01-01,128590815
2016-04-01,124108671
2016-07-01,120971328
2016-10-01,118831757
2017-01-01,111936584
2017-04-01,104212021
2017-07-01,102553750
2017-10-01,103976758
2018-01-01,99165272
2018-04-01,93151960
2018-07-01,89714404
2018-10-01,88525345
2019-01-01,88950973
