DATE,USTHTMS
1994-01-01,404438761
1994-04-01,421814704
1994-07-01,431764346
1994-10-01,429153033
1995-01-01,422089385
1995-04-01,410334400
1995-07-01,400558067
1995-10-01,179217198
1996-01-01,184007047
1996-04-01,182223909
1996-07-01,179496883
1996-10-01,173818838
1997-01-01,172544270
1997-04-01,167201000
1997-07-01,163000443
1997-10-01,162356197
1998-01-01,156714576
1998-04-01,155404953
1998-07-01,151744940
1998-10-01,145439948
1999-01-01,143780283
1999-04-01,144630162
1999-07-01,144033985
1999-10-01,143686908
2000-01-01,143592478
2000-04-01,141041443
2000-07-01,135248058
2000-10-01,130713615
2001-01-01,103069723
2001-04-01,97308379
2001-07-01,92080588
2001-10-01,93310837
2002-01-01,93113747
2002-04-01,94776118
2002-07-01,96590591
2002-10-01,94848805
2003-01-01,95663170
2003-04-01,94399051
2003-07-01,100604985
2003-10-01,102070930
2004-01-01,109473864
2004-04-01,114780537
2004-07-01,116298448
2004-10-01,124176454
2005-01-01,124798442
2005-04-01,125801288
2005-07-01,126835242
2005-10-01,128239181
2006-01-01,126554925
2006-04-01,122307227
2006-07-01,121461236
2006-10-01,113131977
2007-01-01,111822550
2007-04-01,106905838
2007-07-01,98624379
2007-10-01,93271266
2008-01-01,72563016
2008-04-01,72680323
2008-07-01,152919936
2008-10-01,144256273
2009-01-01,148537906
2009-04-01,154838289
2009-07-01,153382824
2009-10-01,144886621
2010-01-01,137345078
2010-04-01,126310023
2010-07-01,124220792
2010-10-01,122747857
2011-01-01,131735486
2011-04-01,135005302
2011-07-01,164635885
2011-10-01,184614579
2012-01-01,192971054
2012-04-01,208851091
2012-07-01,215135689
2012-10-01,229818445
2013-01-01,238922337
2013-04-01,261518959
2013-07-01,323618894
2013-10-01,395953868
2014-01-01,437816827
2014-04-01,480758204
2014-07-01,511097932
2014-10-01,532917631
2015-01-01,575818723
2015-04-01,605406729
2015-07-01,616139440
2015-10-01,657833150
2016-01-01,675357851
2016-04-01,705124605
2016-07-01,712879040
2016-10-01,744327350
2017-01-01,759811036
2017-04-01,804346531
2017-07-01,821285361
2017-10-01,833706906
2018-01-01,807261882
2018-04-01,863403401
2018-07-01,894569982
2018-10-01,918053879
2019-01-01,913605856
