DATE,US100NUM,US13NUM,US31NUM,US115NUM,USG15NUM,US100NIM,US13NIM,US31NIM,US115NIM,USG15NIM,US100ROA,US13ROA,US31ROA,US115ROA,USG15ROA,US100ROE,US13ROE,US31ROE,US115ROE,USG15ROE,US100LLRTL,US13LLRTL,US31LLRTL,US115LLRTL,USG15LLRTL,US100NPTL,US13NPTL,US31NPTL,US115NPTL,USG15NPTL
1984-01-01,12147,1563,436,237,17,4.62,4.3,4.26,3.72,3.04,0.99,0.97,0.89,0.75,0.45,11.56,13.13,12.81,13.09,10.12,1.1,1.16,1.2,1.32,1.08,2.66,2.27,2.35,2.99,3.93
1984-04-01,12123,1558,445,240,17,4.7,4.43,4.44,3.84,3.06,1.0,0.99,0.89,0.74,0.19,11.63,13.4,12.81,12.91,4.27,1.1,1.14,1.19,1.28,1.15,2.55,2.13,2.18,2.73,4.17
1984-07-01,12127,1553,449,243,17,4.72,4.49,4.49,3.91,3.08,1.0,1.0,0.89,0.77,0.27,11.59,13.37,12.9,13.36,5.96,1.11,1.16,1.21,1.3,1.16,2.61,2.2,2.1,2.76,3.83
1984-10-01,12125,1559,447,243,17,4.69,4.46,4.5,3.97,3.18,0.8,0.89,0.91,0.76,0.32,9.27,12.02,13.09,13.06,6.93,1.19,1.2,1.19,1.31,1.23,2.6,2.16,2.03,2.6,3.78
1985-01-01,11972,1670,459,263,17,4.63,4.39,4.39,3.92,3.38,0.93,0.92,0.92,0.79,0.58,10.72,12.45,13.08,13.31,12.08,1.23,1.23,1.23,1.35,1.27,3.02,2.36,2.15,2.64,3.88
1985-04-01,11935,1679,464,263,17,4.72,4.48,4.51,4.01,3.38,0.91,0.95,0.9,0.86,0.46,10.47,12.79,12.83,14.5,9.61,1.24,1.25,1.28,1.38,1.42,2.98,2.37,2.1,2.54,3.94
1985-07-01,11897,1698,466,266,17,4.76,4.53,4.55,4.03,3.33,0.9,0.96,0.88,0.87,0.5,10.32,12.8,12.5,14.53,10.29,1.29,1.26,1.32,1.39,1.47,3.1,2.51,2.26,2.48,3.83
1985-10-01,11818,1705,471,269,17,4.76,4.55,4.59,4.06,3.35,0.67,0.85,0.81,0.87,0.48,7.77,11.32,11.5,14.44,9.87,1.39,1.32,1.41,1.4,1.52,3.0,2.37,2.23,2.2,3.36
1986-01-01,11694,1748,501,289,20,4.59,4.39,4.4,4.04,3.22,0.89,0.98,0.84,0.72,0.63,10.3,13.19,11.44,11.96,12.56,1.46,1.37,1.46,1.54,1.59,3.46,2.59,2.38,2.2,3.49
1986-04-01,11633,1741,500,289,19,4.57,4.38,4.42,4.05,3.23,0.76,0.91,0.81,0.78,0.43,8.84,12.17,11.06,12.89,8.67,1.48,1.38,1.49,1.55,1.73,3.38,2.64,2.5,2.21,3.67
1986-07-01,11602,1758,508,290,19,4.53,4.36,4.4,4.05,3.22,0.69,0.88,0.69,0.83,0.48,7.95,11.7,9.39,13.6,9.52,1.53,1.42,1.6,1.56,1.8,3.37,2.65,2.65,2.31,3.74
1986-10-01,11498,1751,509,294,18,4.5,4.37,4.41,3.99,3.23,0.49,0.74,0.58,0.82,0.5,5.66,9.96,8.38,13.24,9.85,1.59,1.48,1.62,1.55,1.85,3.06,2.48,2.45,2.17,3.55
1987-01-01,11266,1832,520,313,18,4.55,4.5,4.61,4.18,3.17,0.71,0.89,0.81,0.88,0.49,8.3,11.77,11.78,14.29,9.45,1.67,1.52,1.66,1.59,1.95,3.28,2.55,2.58,2.67,6.23
1987-04-01,11156,1819,518,311,18,4.6,4.57,4.69,4.17,3.05,0.65,0.81,0.58,0.33,-2.35,7.61,10.77,8.08,5.48,-48.27,1.64,1.53,1.75,2.06,4.52,3.07,2.45,2.54,2.7,6.01
1987-07-01,11064,1813,515,312,19,4.63,4.6,4.73,4.27,3.03,0.66,0.83,0.63,0.57,-1.33,7.6,10.96,8.82,9.28,-28.95,1.62,1.54,1.74,1.96,4.49,2.89,2.46,2.5,2.57,5.95
1987-10-01,10935,1787,501,316,19,4.65,4.64,4.73,4.34,3.09,0.53,0.76,0.55,0.48,-0.9,6.16,9.88,7.57,7.99,-20.19,1.64,1.53,1.83,2.05,4.72,2.61,2.21,2.33,2.47,5.89
1988-01-01,10719,1799,530,331,22,4.5,4.44,4.46,4.33,3.13,0.74,0.83,0.64,0.78,0.45,8.56,10.76,9.38,12.82,10.47,1.69,1.56,1.73,1.99,4.63,2.72,2.24,2.46,2.41,5.66
1988-04-01,10604,1783,528,333,22,4.55,4.57,4.52,4.32,3.13,0.73,0.86,0.67,0.76,0.55,8.37,11.08,9.71,12.58,12.83,1.66,1.5,1.65,1.88,4.54,2.52,2.06,2.26,2.25,5.49
1988-07-01,10448,1775,522,332,22,4.62,4.68,4.55,4.42,3.13,0.76,0.89,0.69,0.8,0.91,8.65,11.42,9.97,13.21,20.18,1.66,1.52,1.63,2.12,4.19,2.47,2.02,2.19,2.74,5.27
1988-10-01,10333,1780,522,331,23,4.66,4.72,4.6,4.47,3.43,0.67,0.81,0.71,0.79,0.97,7.56,10.37,10.28,12.95,21.12,1.66,1.48,1.61,1.82,4.04,2.32,2.38,1.97,2.06,4.94
1989-01-01,10091,1874,542,339,24,4.66,4.83,4.76,4.48,3.32,0.93,1.03,0.89,0.99,0.88,10.45,13.12,12.61,15.83,17.32,1.61,1.49,1.67,1.77,3.86,3.01,1.89,2.59,2.01,4.92
1989-04-01,10024,1887,535,346,23,4.75,4.87,4.74,4.37,3.33,0.89,1.02,0.9,0.9,0.92,9.93,12.85,12.75,14.3,18.28,1.66,1.49,1.66,1.76,3.6,2.27,1.92,2.58,2.3,4.96
1989-07-01,9906,1886,535,345,23,4.73,4.83,4.74,4.34,3.2,0.89,1.02,0.92,0.83,-0.07,9.85,12.8,12.82,13.09,-1.6,1.66,1.48,1.64,1.84,4.65,2.26,1.97,2.45,2.46,5.01
1989-10-01,9780,1886,542,348,22,4.71,4.81,4.71,4.33,3.23,0.8,0.94,0.82,0.61,0.01,8.8,11.8,11.49,9.66,0.14,1.68,1.49,1.64,2.08,4.31,2.11,1.91,2.3,2.57,4.61
1990-01-01,9529,1987,581,342,25,4.53,4.59,4.56,4.26,3.13,0.8,0.93,0.83,0.66,0.75,8.91,11.82,11.46,10.42,16.13,1.69,1.52,1.73,2.02,4.04,2.17,2.03,2.45,2.5,4.82
1990-04-01,9452,1978,577,340,28,4.57,4.63,4.62,4.27,3.12,0.83,0.96,0.83,0.57,0.67,9.13,11.96,11.21,8.9,13.98,1.65,1.5,1.73,2.12,3.43,2.03,1.97,2.32,2.79,4.66
1990-07-01,9363,1974,580,342,27,4.59,4.67,4.67,4.22,3.14,0.82,0.95,0.81,0.45,0.52,9.05,11.8,10.82,7.03,10.7,1.66,1.51,1.81,2.39,3.37,2.04,2.04,2.53,3.27,4.74
1990-10-01,9305,1965,588,334,27,4.59,4.66,4.73,4.28,3.16,0.7,0.85,0.72,0.28,0.42,7.7,10.52,9.7,4.43,8.64,1.68,1.59,1.87,2.61,3.47,1.97,1.99,2.45,3.65,5.16
